District,LBCode,LBName,Assembly
KOZHIKODE,G11048,Chelannur,Elathur
KOZHIKODE,G11049,Kakkur,Elathur
KOZHIKODE,G11050,Nanmanda,Elathur
KOZHIKODE,G11051,Narikkuni,Koduvally
KOZHIKODE,G11052,Thalakkulathur,Elathur
KOZHIKODE,G11053,Thiruvambady,Thiruvambady
KOZHIKODE,G11054,Koodaranhi,Thiruvambady
KOZHIKODE,G11055,Kizhakkoth,Koduvally
KOZHIKODE,G11056,Madavoor,Koduvally
KOZHIKODE,G11058,Puthuppadi,Thiruvambady
KOZHIKODE,G11059,Thamarassery,Koduvally
KOZHIKODE,G11060,Omasery,Koduvally
KOZHIKODE,G11061,Kattippara,Thiruvambady
KOZHIKODE,G11062,Kodenchery,Thiruvambady
KOZHIKODE,G11063,Kodiyathur,Thiruvambady
KOZHIKODE,G11064,Kuruvattur,Elathur
KOZHIKODE,G11065,Mavoor,Kunnamangalam
KOZHIKODE,G11066,Karasseri,Thiruvambady
KOZHIKODE,G11067,Kunnamangalam,Kunnamangalam
KOZHIKODE,G11068,Chathamangalam,Kunnamangalam
KOZHIKODE,G11070,Peruvayal,Kunnamangalam
KOZHIKODE,G11071,Perumanna,Kunnamangalam
KOZHIKODE,G11072,KADALUNDI,Beypore
KOZHIKODE,G11075,Olavanna,Kunnamangalam
KOZHIKODE,M11049,Koilandy,Quilandy
KOZHIKODE,M11050,Vadakara,Vadakara
KOZHIKODE,M11076,Payyoli,Quilandy
KOZHIKODE,M11077,Ramanattukara,Beypore
KOZHIKODE,M11078,Koduvally,Koduvally
KOZHIKODE,M11079,Mukkam,Thiruvambady
KOZHIKODE,M11080,Faroke,Beypore
MALAPPURAM,G10001,Vazhikkadavu,Nilambur
MALAPPURAM,G10002,Pothukal,Nilambur
MALAPPURAM,G10003,Edakkara,Nilambur
MALAPPURAM,G10004,Moothedam,Nilambur
MALAPPURAM,G10005,Chungathara,Nilambur
MALAPPURAM,G10006,Chaliyar,Eranad
MALAPPURAM,G10008,Cherukavu,Kondotty
MALAPPURAM,G10009,Pallikkal,Vallikkunnu
MALAPPURAM,G10010,Vazhayur,Kondotty
MALAPPURAM,G10011,Vazhakkad,Kondotty
MALAPPURAM,G10012,Pulikkal,Kondotty
MALAPPURAM,G10014,Muthuvallur,Kondotty
MALAPPURAM,G10015,Chelembra,Vallikkunnu
MALAPPURAM,G10016,Wandoor,Wandoor
MALAPPURAM,G10017,Thiruvali,Wandoor
MALAPPURAM,G10018,Mampad,Wandoor
MALAPPURAM,G10019,Porur,Wandoor
MALAPPURAM,G10020,Pandikkad,Manjeri
MALAPPURAM,G10021,Thrikkalangode,Manjeri
MALAPPURAM,G10022,Kalikavu,Wandoor
MALAPPURAM,G10023,Chokkad,Wandoor
MALAPPURAM,G10024,Karuvarakundu,Wandoor
MALAPPURAM,G10025,Thuvvur,Wandoor
MALAPPURAM,G10026,Amarambalam,Nilambur
MALAPPURAM,G10027,Karulai,Nilambur
MALAPPURAM,G10028,Edapatta,Manjeri
MALAPPURAM,G10029,Areacode,Eranad
MALAPPURAM,G10030,Urangattiri,Eranad
MALAPPURAM,G10031,Kavannur,Eranad
MALAPPURAM,G10032,Keezhuparamba,Eranad
MALAPPURAM,G10033,Kuzhimanna,Eranad
MALAPPURAM,G10034,Cheacode,Kondotty
MALAPPURAM,G10035,Pulpetta,Malappuram
MALAPPURAM,G10036,Edavanna,Eranad
MALAPPURAM,G10037,Anakayam,Malappuram
MALAPPURAM,G10038,Morayur,Malappuram
MALAPPURAM,G10039,Ponmala,Kottakkal
MALAPPURAM,G10040,Pookkottur,Malappuram
MALAPPURAM,G10041,Othukkungal,Vengara
MALAPPURAM,G10042,Kodur,Malappuram
MALAPPURAM,G10043,Aliparamba,Perinthalmanna
MALAPPURAM,G10044,Elamkulam,Perinthalmanna
MALAPPURAM,G10045,Melattur,Perinthalmanna
MALAPPURAM,G10046,Keezhattur,Manjeri
MALAPPURAM,G10047,Thazhekkode,Perinthalmanna
MALAPPURAM,G10048,Vettathur,Perinthalmanna
MALAPPURAM,G10049,Pulamanthole,Perinthalmanna
MALAPPURAM,G10050,Angadippuram,Mankada
MALAPPURAM,G10051,Kuruva,Mankada
MALAPPURAM,G10052,Koottilangadi,Mankada
MALAPPURAM,G10053,Puzhakkatiri,Mankada
MALAPPURAM,G10054,Moorkanad,Mankada
MALAPPURAM,G10055,Makkaraparamba,Mankada
MALAPPURAM,G10056,Mankada,Mankada
MALAPPURAM,G10057,Athavanad,Tirur
MALAPPURAM,G10058,Edayur,Kottakkal
MALAPPURAM,G10059,Irumbiliyum,Kottakkal
MALAPPURAM,G10060,Marakkara,Kottakkal
MALAPPURAM,G10061,Kuttippuram,Kottakkal
MALAPPURAM,G10063,Kalpakancheri,Tirur
MALAPPURAM,G10065,Ponmundam,Tanur
MALAPPURAM,G10066,Cheriyamundam,Tanur
MALAPPURAM,G10067,Ozhoor,Tanur
MALAPPURAM,G10068,Niramaruthoor,Tanur
MALAPPURAM,G10069,Thanalur,Tanur
MALAPPURAM,G10070,Valavannur,Tirur
MALAPPURAM,G10071,Perumanna Clari,Tirurangadi
MALAPPURAM,G10072,Abdurehman Nagar,Vengara
MALAPPURAM,G10073,Parappur,Vengara
MALAPPURAM,G10074,Thennela,Tirurangadi
MALAPPURAM,G10075,Vengara,Vengara
MALAPPURAM,G10076,Kannamangalam,Vengara
MALAPPURAM,G10077,Oorakam,Vengara
MALAPPURAM,G10078,Edarikkode,Tirurangadi
MALAPPURAM,G10080,Nannambra,Tirurangadi
MALAPPURAM,G10081,Moonniyur,Vallikkunnu
MALAPPURAM,G10082,Thenhippalam,Vallikkunnu
MALAPPURAM,G10084,Vallikkunnu,Vallikkunnu
MALAPPURAM,G10085,Peruvallur,Vallikkunnu
MALAPPURAM,G10086,Purathur,Thavanur
MALAPPURAM,G10087,Mangalam,Thavanur
MALAPPURAM,G10088,Thriprangode,Thavanur
MALAPPURAM,G10089,Vettom,Tirur
MALAPPURAM,G10090,Thalakkad,Tirur
MALAPPURAM,G10091,Thirunavaya,Tirur
MALAPPURAM,G10092,Thavanur,Thavanur
MALAPPURAM,G10093,Vattamkulam,Thavanur
MALAPPURAM,G10094,Edappal,Thavanur
MALAPPURAM,G10095,Kalady,Thavanur
MALAPPURAM,G10096,Alamkode,Ponnani
MALAPPURAM,G10097,Maranchery,Ponnani
MALAPPURAM,G10098,Nannamukku,Ponnani
MALAPPURAM,G10099,Perumbadappu,Ponnani
MALAPPURAM,G10100,Veliyancode,Ponnani
MALAPPURAM,M10042,Ponnani,Ponnani
MALAPPURAM,M10043,Tirur,Tirur
MALAPPURAM,M10044,Perinthalmanna,Perinthalmanna
MALAPPURAM,M10045,Malappuram,Malappuram
MALAPPURAM,M10046,Manjeri,Manjeri
MALAPPURAM,M10047,Kottakkal,Kottakkal
MALAPPURAM,M10048,Nilambur,Nilambur
MALAPPURAM,M10072,Thanoor,Tanur
MALAPPURAM,M10073,Parappanangadi,Tirurangadi
MALAPPURAM,M10074,Valanchery,Kottakkal
MALAPPURAM,M10075,Tirurangadi,Tirurangadi
MALAPPURAM,M10088,Kondotty,Kondotty
PALAKKAD,G09001,Anakkara,Thrithala
PALAKKAD,G09002,Chalissery,Thrithala
PALAKKAD,G09003,Kappoor,Thrithala
PALAKKAD,G09004,Nagalassery,Thrithala
PALAKKAD,G09005,Pattithara,Thrithala
PALAKKAD,G09006,Thirumittakode,Thrithala
PALAKKAD,G09007,Thrithala,Thrithala
PALAKKAD,G09008,Koppam,Pattambi
PALAKKAD,G09009,Kulukkallur,Pattambi
PALAKKAD,G09010,Muthuthala,Pattambi
PALAKKAD,G09011,Ongallur,Pattambi
PALAKKAD,G09013,Thiruvegappura,Pattambi
PALAKKAD,G09014,Vilayur,Pattambi
PALAKKAD,G09015,Paruthur,Thrithala
PALAKKAD,G09016,Ambalapara,Ottappalam
PALAKKAD,G09017,Ananganadi,Shornur
PALAKKAD,G09018,Chalavara,Shornur
PALAKKAD,G09019,Lekkidi-Perur,Ottappalam
PALAKKAD,G09020,Vaniyamkulam,Shornur
PALAKKAD,G09021,Thrikkadeiri,Shornur
PALAKKAD,G09022,Vallapuzha,Pattambi
PALAKKAD,G09023,Nellaya,Shornur
PALAKKAD,G09025,Kadampazhipuram,Ottappalam
PALAKKAD,G09026,Karimpuzha,Ottappalam
PALAKKAD,G09027,Sreekrishnapuram,Ottappalam
PALAKKAD,G09028,Vellinezhi,Shornur
PALAKKAD,G09029,Karakurissi,Kongad
PALAKKAD,G09030,Thachanattukara,Ottappalam
PALAKKAD,G09031,Pookkottukavu,Ottappalam
PALAKKAD,G09032,Alanallur,Mannarkkad
PALAKKAD,G09033,Karimba,Kongad
PALAKKAD,G09034,Kottoppadam,Mannarkkad
PALAKKAD,G09035,Kumaramputhur,Mannarkkad
PALAKKAD,G09036,Kanjirapuzha,Kongad
PALAKKAD,G09038,Thachampara,Kongad
PALAKKAD,G09039,Thenkara,Mannarkkad
PALAKKAD,G09040,Agali,Mannarkkad
PALAKKAD,G09041,Pudur,Mannarkkad
PALAKKAD,G09042,Sholayur,Mannarkkad
PALAKKAD,G09043,Pirayiri,Palakkad
PALAKKAD,G09044,Mundur,Malampuzha
PALAKKAD,G09045,Kongad,Kongad
PALAKKAD,G09046,Keralasseri,Kongad
PALAKKAD,G09047,Mannur,Kongad
PALAKKAD,G09048,Mankara,Kongad
PALAKKAD,G09049,Parli,Kongad
PALAKKAD,G09050,Kottayi,Tarur
PALAKKAD,G09051,Kuthanur,Tarur
PALAKKAD,G09052,Kuzhalmannam,Alathur
PALAKKAD,G09053,Mathur,Palakkad
PALAKKAD,G09054,Peringottukurissi,Tarur
PALAKKAD,G09055,Thenkurissi,Alathur
PALAKKAD,G09056,Kannadi,Palakkad
PALAKKAD,G09057,Eruthempathy,Chittur
PALAKKAD,G09058,Kozhinjampara,Chittur
PALAKKAD,G09059,Nalleppilly,Chittur
PALAKKAD,G09060,Perumatty,Chittur
PALAKKAD,G09061,Vadakarapathy,Chittur
PALAKKAD,G09062,Elappully,Malampuzha
PALAKKAD,G09063,Polpully,Chittur
PALAKKAD,G09064,Kollengode,Nenmara
PALAKKAD,G09065,Koduvayur,Nenmara
PALAKKAD,G09066,Muthalamada,Nenmara
PALAKKAD,G09067,Pudunagaram,Nenmara
PALAKKAD,G09068,Vadavannur,Nenmara
PALAKKAD,G09069,Peruvemba,Chittur
PALAKKAD,G09070,Pattanchery,Chittur
PALAKKAD,G09071,Ayiloor,Nenmara
PALAKKAD,G09072,Nelliyampathy,Nenmara
PALAKKAD,G09073,Elavanchery,Nenmara
PALAKKAD,G09074,Pallassana,Nenmara
PALAKKAD,G09075,Melarcode,Alathur
PALAKKAD,G09076,Nemmara,Nenmara
PALAKKAD,G09077,Vandazhi,Alathur
PALAKKAD,G09078,Akathethara,Malampuzha
PALAKKAD,G09079,Malampuzha,Malampuzha
PALAKKAD,G09080,Marutha Road,Malampuzha
PALAKKAD,G09081,Puduppariyaram,Malampuzha
PALAKKAD,G09082,Pudusserri,Malampuzha
PALAKKAD,G09083,Kodumba,Malampuzha
PALAKKAD,G09084,Alathur,Alathur
PALAKKAD,G09085,Erimayoor,Alathur
PALAKKAD,G09086,Kavassery,Tarur
PALAKKAD,G09087,Kizhakkanchery,Alathur
PALAKKAD,G09088,Puthukode,Tarur
PALAKKAD,G09089,Tarur,Tarur
PALAKKAD,G09090,Vadakkenchery,Tarur
PALAKKAD,G09091,Kannambra,Tarur
PALAKKAD,M09038,Shornur,Shornur
PALAKKAD,M09039,Ottappalam,Ottappalam
PALAKKAD,M09040,Palakkad,Palakkad
PALAKKAD,M09041,Chittur- Thathamangalam,Chittur
PALAKKAD,M09069,Pattambi,Pattambi
PALAKKAD,M09070,Cherupulassery,Shornur
PALAKKAD,M09071,Mannarkkad,Mannarkkad
PATHANAMTHITTA,G03001,Anikkadu,Thiruvalla
PATHANAMTHITTA,G03002,Kaviyoor,Thiruvalla
PATHANAMTHITTA,G03003,Kottanad,Ranni
PATHANAMTHITTA,G03004,Kallooppara,Thiruvalla
PATHANAMTHITTA,G03005,Kottangal,Ranni
PATHANAMTHITTA,G03006,Kunnanthanam,Thiruvalla
PATHANAMTHITTA,G03007,Mallappally,Thiruvalla
PATHANAMTHITTA,G03008,Kadapra,Thiruvalla
PATHANAMTHITTA,G03009,Kuttoor,Thiruvalla
PATHANAMTHITTA,G03010,Niranam,Thiruvalla
PATHANAMTHITTA,G03011,Nedumpram,Thiruvalla
PATHANAMTHITTA,G03012,Peringara,Thiruvalla
PATHANAMTHITTA,G03013,Ayiroor,Ranni
PATHANAMTHITTA,G03014,Eraviperoor,Aranmula
PATHANAMTHITTA,G03015,Koipram,Aranmula
PATHANAMTHITTA,G03016,Thottappuzhassery,Aranmula
PATHANAMTHITTA,G03017,Ezhumattoor,Ranni
PATHANAMTHITTA,G03018,Puramattam,Thiruvalla
PATHANAMTHITTA,G03019,Omalloor,Aranmula
PATHANAMTHITTA,G03020,Chenneerkara,Aranmula
PATHANAMTHITTA,G03021,Elanthoor,Aranmula
PATHANAMTHITTA,G03022,Cherukol,Ranni
PATHANAMTHITTA,G03023,Kozhanchery,Aranmula
PATHANAMTHITTA,G03024,Mallappuzhassery,Aranmula
PATHANAMTHITTA,G03025,Naranganam,Aranmula
PATHANAMTHITTA,G03026,Ranni Pazhavangady,Ranni
PATHANAMTHITTA,G03027,Ranni,Ranni
PATHANAMTHITTA,G03028,Ranny Angady,Ranni
PATHANAMTHITTA,G03029,Ranny Perunadu,Ranni
PATHANAMTHITTA,G03030,Vadasserikkara,Ranni
PATHANAMTHITTA,G03031,Chittar,Konni
PATHANAMTHITTA,G03032,Seethathodu,Konni
PATHANAMTHITTA,G03033,Naranammoozhy,Ranni
PATHANAMTHITTA,G03034,Vechoochira,Ranni
PATHANAMTHITTA,G03035,Konni,Konni
PATHANAMTHITTA,G03036,Aruvappulam,Konni
PATHANAMTHITTA,G03037,Pramadam,Konni
PATHANAMTHITTA,G03038,Mylapra,Konni
PATHANAMTHITTA,G03039,Vallikkodu,Konni
PATHANAMTHITTA,G03040,Thannithodu,Konni
PATHANAMTHITTA,G03041,Malayalapuzha,Konni
PATHANAMTHITTA,G03042,Panthalam- Thekkekkara,Adoor
PATHANAMTHITTA,G03044,Thumpamon,Adoor
PATHANAMTHITTA,G03045,Kulanada,Aranmula
PATHANAMTHITTA,G03046,Aranmula,Aranmula
PATHANAMTHITTA,G03047,Mezhuvely,Aranmula
PATHANAMTHITTA,G03048,Enadimangalam,Konni
PATHANAMTHITTA,G03049,Earathu,Adoor
PATHANAMTHITTA,G03050,Ezhamkulam,Adoor
PATHANAMTHITTA,G03051,Kadambanad,Adoor
PATHANAMTHITTA,G03052,Kalanjoor,Konni
PATHANAMTHITTA,G03053,Kodumon,Adoor
PATHANAMTHITTA,G03054,Pallickal,Adoor
PATHANAMTHITTA,M03008,Adoor,Adoor
PATHANAMTHITTA,M03009,Pathanamthitta,Aranmula
PATHANAMTHITTA,M03010,Thiruvalla,Thiruvalla
PATHANAMTHITTA,M03061,Pandalam,Adoor
THIRUVANANTHAPURAM,G01001,Parassala,Parassala
THIRUVANANTHAPURAM,G01002,Karode,Neyyattinkara
THIRUVANANTHAPURAM,G01003,Kulathoor,Neyyattinkara
THIRUVANANTHAPURAM,G01004,Chenkal,Neyyattinkara
THIRUVANANTHAPURAM,G01005,THIRUPURAM,Neyyattinkara
THIRUVANANTHAPURAM,G01006,Poovar,Kovalam
THIRUVANANTHAPURAM,G01007,Vellarada,Parassala
THIRUVANANTHAPURAM,G01008,Kunnathukal,Parassala
THIRUVANANTHAPURAM,G01009,Kollayil,Parassala
THIRUVANANTHAPURAM,G01010,Perumkadavila,Parassala
THIRUVANANTHAPURAM,G01011,Aryankode,Parassala
THIRUVANANTHAPURAM,G01012,Ottasekaramangalam,Parassala
THIRUVANANTHAPURAM,G01013,Kallikkadu,Parassala
THIRUVANANTHAPURAM,G01014,Amboori,Parassala
THIRUVANANTHAPURAM,G01015,Athiyannoor,Neyyattinkara
THIRUVANANTHAPURAM,G01016,Kanjiramkulam,Kovalam
THIRUVANANTHAPURAM,G01017,Karumkulam,Kovalam
THIRUVANANTHAPURAM,G01018,Kottukal,Kovalam
THIRUVANANTHAPURAM,G01019,Venganoor,Kovalam
THIRUVANANTHAPURAM,G01020,MARANALLUR,Kattakkada
THIRUVANANTHAPURAM,G01021,BALARAMAPURAM,Kovalam
THIRUVANANTHAPURAM,G01022,PALLICHAL,Kattakkada
THIRUVANANTHAPURAM,G01023,MALAYINKEEZHU,Kattakkada
THIRUVANANTHAPURAM,G01024,VILAPPIL,Kattakkada
THIRUVANANTHAPURAM,G01025,VILAVOORKAL,Kattakkada
THIRUVANANTHAPURAM,G01026,KALLIYOOR,Kovalam
THIRUVANANTHAPURAM,G01027,ANDOORKONAM,Nedumangad
THIRUVANANTHAPURAM,G01028,KADINAMKULAM,Chirayankeezhu
THIRUVANANTHAPURAM,G01029,MANGALAPURAM,Chirayankeezhu
THIRUVANANTHAPURAM,G01030,POTHENCODE,Chirayankeezhu
THIRUVANANTHAPURAM,G01031,AZHOOR,Chirayankeezhu
THIRUVANANTHAPURAM,G01032,Kattakada,Kattakkada
THIRUVANANTHAPURAM,G01033,Vellanad,Aruvikkara
THIRUVANANTHAPURAM,G01034,Poovachal,Aruvikkara
THIRUVANANTHAPURAM,G01035,Aryanad,Aruvikkara
THIRUVANANTHAPURAM,G01036,Vithura,Aruvikkara
THIRUVANANTHAPURAM,G01037,Kuttichal,Aruvikkara
THIRUVANANTHAPURAM,G01038,Uzhamalakkal,Aruvikkara
THIRUVANANTHAPURAM,G01039,Tholicode,Aruvikkara
THIRUVANANTHAPURAM,G01040,Karakulam,Nedumangad
THIRUVANANTHAPURAM,G01041,Aruvikkara,Aruvikkara
THIRUVANANTHAPURAM,G01042,Vembayam,Nedumangad
THIRUVANANTHAPURAM,G01043,Anadu,Vamanapuram
THIRUVANANTHAPURAM,G01044,Panavoor,Vamanapuram
THIRUVANANTHAPURAM,G01045,Vamanapuram,Vamanapuram
THIRUVANANTHAPURAM,G01046,Manickal,Nedumangad
THIRUVANANTHAPURAM,G01047,Nellanad,Vamanapuram
THIRUVANANTHAPURAM,G01048,Pullampara,Vamanapuram
THIRUVANANTHAPURAM,G01049,Nanniyode,Vamanapuram
THIRUVANANTHAPURAM,G01050,Peringammala,Vamanapuram
THIRUVANANTHAPURAM,G01051,Kallara,Vamanapuram
THIRUVANANTHAPURAM,G01052,Pangode,Vamanapuram
THIRUVANANTHAPURAM,G01053,Pulimath,Attingal
THIRUVANANTHAPURAM,G01054,Karavaram,Attingal
THIRUVANANTHAPURAM,G01055,Nagaroor,Attingal
THIRUVANANTHAPURAM,G01056,Pazhayakunnummel,Attingal
THIRUVANANTHAPURAM,G01057,Kilimanoor,Attingal
THIRUVANANTHAPURAM,G01058,Navayikulam,Varkala
THIRUVANANTHAPURAM,G01059,Madavoor,Varkala
THIRUVANANTHAPURAM,G01060,Pallikkal,Varkala
THIRUVANANTHAPURAM,G01061,Anchuthengu,Chirayankeezhu
THIRUVANANTHAPURAM,G01062,Vakkom,Attingal
THIRUVANANTHAPURAM,G01063,Chirayinkeezhu,Chirayankeezhu
THIRUVANANTHAPURAM,G01064,Kizhuvilam,Chirayankeezhu
THIRUVANANTHAPURAM,G01065,Mudakkal,Chirayankeezhu
THIRUVANANTHAPURAM,G01066,Kadakkavoor,Chirayankeezhu
THIRUVANANTHAPURAM,G01067,Vettoor,Varkala
THIRUVANANTHAPURAM,G01068,Cherunniyoor,Attingal
THIRUVANANTHAPURAM,G01069,Edava,Varkala
THIRUVANANTHAPURAM,G01070,Elakamon,Varkala
THIRUVANANTHAPURAM,G01071,Chemmaruthy,Varkala
THIRUVANANTHAPURAM,G01072,MANAMBOOR,Attingal
THIRUVANANTHAPURAM,G01073,Ottoor,Attingal
THIRUVANANTHAPURAM,M01001,Neyyattinkara,Neyyattinkara
THIRUVANANTHAPURAM,M01002,Nedumangad,Nedumangad
THIRUVANANTHAPURAM,M01003,Attingal,Attingal
THIRUVANANTHAPURAM,M01004,Varkala,Varkala
THRISSUR,G08001,Kadappuram,Guruvayoor
THRISSUR,G08002,Orumanayoor,Guruvayoor
THRISSUR,G08003,Punnayoor,Guruvayoor
THRISSUR,G08004,Punnayoorkulam,Guruvayoor
THRISSUR,G08005,Vadakkekkad,Guruvayoor
THRISSUR,G08006,Choondal,Manalur
THRISSUR,G08007,Chowannur,Kunnamkulam
THRISSUR,G08008,Kadavalloor,Kunnamkulam
THRISSUR,G08009,Kandanassery,Manalur
THRISSUR,G08010,Kattakampal,Kunnamkulam
THRISSUR,G08011,Porkulam,Kunnamkulam
THRISSUR,G08012,Kadangode,Kunnamkulam
THRISSUR,G08013,Velur,Kunnamkulam
THRISSUR,G08014,Desamangalam,Chelakkara
THRISSUR,G08015,Erumapetty,Kunnamkulam
THRISSUR,G08017,Mullurkkara,Chelakkara
THRISSUR,G08018,Thekkumkara,Vadakkancherry
THRISSUR,G08019,Varavoor,Chelakkara
THRISSUR,G08021,Chelakkara,Chelakkara
THRISSUR,G08022,Vallathole Nagar,Chelakkara
THRISSUR,G08023,Kondazhy,Chelakkara
THRISSUR,G08024,Panjal,Chelakkara
THRISSUR,G08025,Pazhayannur,Chelakkara
THRISSUR,G08026,Thiruvilwamala,Chelakkara
THRISSUR,G08027,Madakkathara,Ollur
THRISSUR,G08028,Nadathara,Ollur
THRISSUR,G08029,Pananchery,Ollur
THRISSUR,G08030,Puthur,Ollur
THRISSUR,G08031,Adat,Vadakkancherry
THRISSUR,G08032,Avanur,Vadakkancherry
THRISSUR,G08033,Kaiparambu,Vadakkancherry
THRISSUR,G08034,Mulamkunnathukavu,Vadakkancherry
THRISSUR,G08035,Tholur,Vadakkancherry
THRISSUR,G08036,Kolazhy,Vadakkancherry
THRISSUR,G08037,Elavally,Manalur
THRISSUR,G08038,Mullassery,Manalur
THRISSUR,G08039,Pavaratty,Manalur
THRISSUR,G08040,Venkitangu,Manalur
THRISSUR,G08041,Engandiyoor,Guruvayoor
THRISSUR,G08042,Vadanappilly,Manalur
THRISSUR,G08043,Thalikulam,Nattika
THRISSUR,G08044,Nattika,Nattika
THRISSUR,G08045,Valappad,Nattika
THRISSUR,G08046,Edathiruthy,Kaipamangalam
THRISSUR,G08047,Kaipamangalam,Kaipamangalam
THRISSUR,G08048,Mathilakam,Kaipamangalam
THRISSUR,G08049,Perinjanam,Kaipamangalam
THRISSUR,G08050,Sree Narayanapuram,Kaipamangalam
THRISSUR,G08051,Edavilangu,Kaipamangalam
THRISSUR,G08052,Eriyad,Kaipamangalam
THRISSUR,G08053,Anthikkad,Nattika
THRISSUR,G08054,Thanniam,Nattika
THRISSUR,G08055,Chazhur,Nattika
THRISSUR,G08056,Manalur,Manalur
THRISSUR,G08057,Arimbur,Manalur
THRISSUR,G08058,Avinissery,Nattika
THRISSUR,G08059,Cherpu,Nattika
THRISSUR,G08060,Paralam,Nattika
THRISSUR,G08061,Vallachira,Puthukkad
THRISSUR,G08062,Alagappanagar,Puthukkad
THRISSUR,G08063,Kodakara,Chalakudy
THRISSUR,G08064,Mattathur,Puthukkad
THRISSUR,G08065,Nenmanikkara,Puthukkad
THRISSUR,G08066,Pudukkad,Puthukkad
THRISSUR,G08067,Thrikkur,Puthukkad
THRISSUR,G08068,Varantharappilly,Puthukkad
THRISSUR,G08069,Karalam,Irinjalakkuda
THRISSUR,G08070,Kattoor,Irinjalakkuda
THRISSUR,G08071,Muriyad,Irinjalakkuda
THRISSUR,G08072,Parappookkara,Puthukkad
THRISSUR,G08073,Padiyoor,Irinjalakkuda
THRISSUR,G08074,Poomangalam,Irinjalakkuda
THRISSUR,G08075,Puthenchira,Kodungallur
THRISSUR,G08076,Vellangalur,Kodungallur
THRISSUR,G08077,Velookkara,Irinjalakkuda
THRISSUR,G08078,Aloor,Irinjalakkuda
THRISSUR,G08079,Annamanada,Kodungallur
THRISSUR,G08080,Kuzhur,Kodungallur
THRISSUR,G08081,Mala,Kodungallur
THRISSUR,G08082,Poyya,Kodungallur
THRISSUR,G08083,Kadukutty,Chalakudy
THRISSUR,G08084,Kodassery,Chalakudy
THRISSUR,G08085,Koratty,Chalakudy
THRISSUR,G08086,Meloor,Chalakudy
THRISSUR,G08087,Pariyaram,Chalakudy
THRISSUR,G08088,Athirappilly,Chalakudy
THRISSUR,M08032,Chalakudy,Chalakudy
THRISSUR,M08033,Irinjalakuda,Irinjalakkuda
THRISSUR,M08034,Kodungallur,Kodungallur
THRISSUR,M08035,Chavakkad,Guruvayoor
THRISSUR,M08036,Guruvayoor,Guruvayoor
THRISSUR,M08037,Kunnamkulam,Kunnamkulam
THRISSUR,M08068,Vadakkancherry,Vadakkancherry
WAYANAD,G12002,Vellamunda,Mananthavadi
WAYANAD,G12003,Thirunelly,Mananthavadi
WAYANAD,G12004,Thondernadu,Mananthavadi
WAYANAD,G12005,Edavaka,Mananthavadi
WAYANAD,G12006,Thavinhal,Mananthavadi
WAYANAD,G12008,Noolpuzha,Sulthan Batheri
WAYANAD,G12009,Nenmeni,Sulthan Batheri
WAYANAD,G12010,Ambalavayal,Sulthan Batheri
WAYANAD,G12011,Meenangadi,Sulthan Batheri
WAYANAD,G12012,Vengappally,Kalpetta
WAYANAD,G12013,Vythiri,Kalpetta
WAYANAD,G12014,Pozhuthana,Kalpetta
WAYANAD,G12015,Thariode,Kalpetta
WAYANAD,G12016,Meppadi,Kalpetta
WAYANAD,G12017,Muppainadu,Kalpetta
WAYANAD,G12018,Kottathara,Kalpetta
WAYANAD,G12019,Muttil,Kalpetta
WAYANAD,G12020,Padinjarathara,Kalpetta
WAYANAD,G12021,Panamaram,Mananthavadi
WAYANAD,G12022,Kaniyambetta,Kalpetta
WAYANAD,G12023,Poothady,Sulthan Batheri
WAYANAD,G12024,Pulpally,Sulthan Batheri
WAYANAD,G12025,Mullankolly,Sulthan Batheri
WAYANAD,M12051,Kalpetta,Kalpetta
WAYANAD,M12081,Mananthavadi,Mananthavadi
WAYANAD,M12082,Sulthanbethery,Sulthan Batheri
KANNUR,M13057,Mattannur,Mattannur
